Image,Year,Bud Count,Stem Count,
15,2016,0,1,
18,2016,9,9,
19,2016,11,6,
20,2016,51,3,
21,2016,3,1,
23,2016,3,2,
24,2016,16,1,
26,2016,38,4,
27,2016,9,6,
28,2016,19,3,
30,2016,1,1,
31,2016,5,2,
32,2016,0,1,
34,2016,31,6,
39,2016,19,6,
40,2016,13,4,
41,2016,10,6,
1780,2016,51,2,
1790,2016,12,7,
1791,2016,0,3,
1792,2016,34,8,
1801,2016,31,1,
1815,2016,1,5,
1819,2016,8,4,
1983,2016,35,9,
1996,2016,12,1,
2119,2016,41,4,
4233,2016,29,6,
6880,2016,7,7,
6881,2016,6,14,
70,2017,7,1,
94,2017,0,17,
115,2017,9,10,
289,2017,2,7,
290,2017,5,13,
332,2017,8,10,
393,2017,14,4,
415,2017,2,13,
427,2017,0,5,
472,2017,0,1,
488,2017,7,9,
528,2017,8,9,
578,2017,24,8,
593,2017,1,3,
628,2017,28,2,
665,2017,3,1,
718,2017,10,5,
812,2017,30,7,
817,2017,9,7,
821,2017,21,7,
986,2017,6,4,
1027,2017,12,3,
1058,2017,24,8,
1072,2017,13,4,
1112,2017,14,6,
1142,2017,8,2,
1196,2017,0,3,
1219,2017,12,1,
4279,2017,1,1,
6923,2017,9,1,
1259,2018,5,9,
1284,2018,0,5,
1285,2018,0,16,
1292,2018,0,1,
1297,2018,0,3,
1320,2018,8,4,
1327,2018,0,1,
1340,2018,5,9,
1355,2018,0,1,
1361,2018,21,1,
1378,2018,7,2,
1385,2018,0,3,
1446,2018,6,9,
1461,2018,17,13,
1491,2018,3,2,
1501,2018,34,7,
1574,2018,8,1,
1581,2018,24,8,
1586,2018,49,2,
1590,2018,10,3,
1591,2018,3,2,
1638,2018,0,1,
1647,2018,11,4,
1662,2018,42,10,
1688,2018,32,10,
1721,2018,5,4,
1758,2018,38,2,
1796,2018,0,14,
1805,2018,18,6,
1988,2018,45,1,
1813,2019,24,3,
1822,2019,41,2,
1824,2019,11,1,
1826,2019,10,1,
1828,2019,74,3,
1830,2019,0,1,
1834,2019,36,1,
1851,2019,14,1,
1861,2019,17,21,
1863,2019,19,4,
1878,2019,0,1,
1880,2019,0,1,
1887,2019,2,1,
1896,2019,3,9,
1897,2019,0,1,
1898,2019,0,6,
1913,2019,0,1,
1928,2019,22,1,
1938,2019,0,1,
1953,2019,9,1,
1964,2019,54,4,
1967,2019,20,2,
1982,2019,22,2,
1985,2019,4,3,
2602,2019,43,11,
2605,2019,23,13,
2620,2019,27,6,
4238,2019,5,5,
5468,2019,23,4,
10678,2019,0,12,
2001,2020,25,6,
2006,2020,8,2,
2016,2020,0,6,check
2017,2020,20,1,
2019,2020,0,2,
2024,2020,45,4,
2035,2020,4,5,
2036,2020,21,3,
2037,2020,0,2,
2043,2020,11,1,
2045,2020,14,6,
2046,2020,44,1,
2047,2020,34,8,
2059,2020,33,1,
2062,2020,0,1,
2065,2020,10,7,
2067,2020,24,5,
2070,2020,11,2,
2073,2020,23,1,
2077,2020,8,1,
2082,2020,20,1,
2089,2020,10,4,
2090,2020,5,2,
2100,2020,12,10,
2101,2020,0,0,
2104,2020,81,16,
2143,2020,0,6,
2146,2020,18,1,
4690,2020,31,5,
10802,2020,22,3,
2153,2021,0,1,
2180,2021,14,4,
2194,2021,73,18,
2204,2021,0,6,
2218,2021,13,1,
