Image,Year,Bud Count
15,2016,0
18,2016,9
19,2016,11
20,2016,51
21,2016,3
23,2016,3
24,2016,16
26,2016,38
27,2016,9
28,2016,19
30,2016,1
31,2016,5
32,2016,0
34,2016,31
39,2016,19
40,2016,13
41,2016,10
1780,2016,51
1790,2016,12
1791,2016,0
1792,2016,34
1801,2016,31
1815,2016,1
1819,2016,8
1983,2016,35
1996,2016,12
2119,2016,41
4233,2016,29
6880,2016,7
6881,2016,6
70,2017,7
94,2017,0
115,2017,9
289,2017,2
290,2017,5
332,2017,8
393,2017,14
415,2017,2
427,2017,0
472,2017,0
488,2017,7
528,2017,8
578,2017,24
593,2017,1
628,2017,28
665,2017,3
718,2017,10
812,2017,30
817,2017,6
821,2017,21
986,2017,6
1027,2017,12
1058,2017,24
1072,2017,13
1112,2017,14
1142,2017,8
1196,2017,0
1219,2017,12
4279,2017,1
6923,2017,9
1259,2018,5
1284,2018,0
1285,2018,0
1292,2018,0
1297,2018,0
1320,2018,8
1327,2018,0
1340,2018,5
1355,2018,0
1361,2018,21
1378,2018,7
1385,2018,0
1446,2018,6
1461,2018,17
1491,2018,3
1501,2018,34
1574,2018,8
1581,2018,24
1586,2018,49
1590,2018,10
1591,2018,3
1638,2018,0
1647,2018,11
1662,2018,42
1688,2018,32
1721,2018,5
1758,2018,38
1796,2018,0
1805,2018,18
1988,2018,45
1813,2019,24
1822,2019,41
1824,2019,11
1826,2019,10
1828,2019,74
1830,2019,0
1834,2019,36
1851,2019,14
1861,2019,17
1863,2019,19
1878,2019,0
1880,2019,0
1887,2019,2
1896,2019,3
1897,2019,0
1898,2019,0
1913,2019,0
1928,2019,22
1938,2019,0
1953,2019,9
1964,2019,54
1967,2019,20
1982,2019,22
1985,2019,4
2602,2019,43
2605,2019,23
2620,2019,27
4238,2019,5
5468,2019,23
10678,2019,0
2001,2020,25
2006,2020,8
2016,2020,0
2017,2020,20
2019,2020,0
2024,2020,45
2035,2020,4
2036,2020,21
2037,2020,0
2043,2020,11
2045,2020,14
2046,2020,44
2047,2020,34
2059,2020,33
2062,2020,0
2065,2020,4
2067,2020,24
2070,2020,11
2073,2020,23
2077,2020,8
2082,2020,20
2089,2020,10
2090,2020,5
2100,2020,12
2101,2020,0
2104,2020,81
2143,2020,0
2146,2020,18
4690,2020,31
10802,2020,22
2153,2021,0
2180,2021,14
2194,2021,73
2204,2021,0
2218,2021,13
2222,2021,0
2245,2021,0
2254,2021,0
2318,2021,0
2341,2021,13
2371,2021,18
2372,2021,0
2422,2021,9
2457,2021,1
2462,2021,17
2474,2021,15
2485,2021,0
2509,2021,117
2539,2021,0
2561,2021,7
2572,2021,28
2584,2021,11
2588,2021,50
2616,2021,32
2634,2021,33
2646,2021,0
2679,2021,71
2697,2021,44
4245,2021,23
4291,2021,33
2721,2022,0
2740,2022,3
2745,2022,0
2763,2022,3
2770,2022,0
2813,2022,0
2838,2022,0
3132,2022,0
3218,2022,0
3224,2022,5
3319,2022,0
3337,2022,0
3338,2022,0
3573,2022,13
3582,2022,1
3694,2022,5
3698,2022,0
3761,2022,0
3826,2022,15
3903,2022,11
3919,2022,25
3944,2022,0
3960,2022,0
3978,2022,8
4035,2022,0
4081,2022,3
4103,2022,10
4105,2022,0
4152,2022,0
4161,2022,0
4312,2023,4
4333,2023,0
4417,2023,34
4446,2023,22
4454,2023,34
4499,2023,0
4575,2023,8
4581,2023,53
4592,2023,2
4598,2023,0
4602,2023,10
4621,2023,91
4682,2023,5
4795,2023,0
4804,2023,34
4883,2023,3
4903,2023,22
4925,2023,31
5010,2023,13
5014,2023,0
5064,2023,0
5111,2023,14
5166,2023,0
5207,2023,25
5210,2023,0
5222,2023,0
5250,2023,3
5261,2023,23
5328,2023,4
5420,2023,0
5493,2024,13
5528,2024,0
5574,2024,1
5590,2024,5
5612,2024,3
5621,2024,0
5627,2024,3
5648,2024,0
5662,2024,0
5711,2024,0
5719,2024,0
5888,2024,2
6022,2024,0
6054,2024,0
6102,2024,0
6167,2024,23
6231,2024,3
6265,2024,9
6464,2024,33
6465,2024,28
6512,2024,0
6555,2024,26
6567,2024,27
6714,2024,5
6727,2024,0
6746,2024,11
6798,2024,19
6847,2024,8
6957,2024,26
6982,2024,0
7023,2025,0
7025,2025,8
7125,2025,24
7142,2025,7
7241,2025,0
7560,2025,23
7751,2025,46
8113,2025,8
8144,2025,49
8246,2025,0
8577,2025,0
8875,2025,13
9088,2025,11
9202,2025,1
9318,2025,1
9507,2025,0
9549,2025,0
9682,2025,54
9776,2025,5
9824,2025,0
10002,2025,28
10068,2025,0
10092,2025,0
10145,2025,0
10261,2025,0
10364,2025,76
10593,2025,9
10618,2025,0
10665,2025,19
10973,2025,48
10823,2026,3
10826,2026,0
10837,2026,6
10842,2026,7
10862,2026,14
10884,2026,0
10910,2026,3
10914,2026,5
10919,2026,5
10931,2026,5
10933,2026,0
10940,2026,0
10950,2026,0
10951,2026,4
10961,2026,4
10964,2026,11
10967,2026,0
10972,2026,10
10983,2026,0
10993,2026,24
10996,2026,2
11048,2026,13
11056,2026,0
11078,2026,0
11084,2026,0
11088,2026,3
11118,2026,14
11130,2026,25
11133,2026,48
11141,2026,5
