Image,Year,Stem Count,
15,2016,1,
18,2016,9,
19,2016,6,
20,2016,3,
21,2016,1,
23,2016,2,
24,2016,1,
26,2016,4,
27,2016,6,
28,2016,3,
30,2016,1,
31,2016,2,
32,2016,1,
34,2016,6,
39,2016,6,
40,2016,4,
41,2016,6,
1780,2016,2,
1790,2016,7,
1791,2016,3,
1792,2016,8,
1801,2016,1,
1815,2016,5,
1819,2016,4,
1983,2016,9,
1996,2016,1,
2119,2016,4,
4233,2016,6,
6880,2016,7,
6881,2016,14,
70,2017,1,
94,2017,17,
115,2017,10,
289,2017,7,
290,2017,13,
332,2017,10,
393,2017,4,
415,2017,13,
427,2017,5,
472,2017,1,
488,2017,9,
528,2017,9,
578,2017,8,
593,2017,3,
628,2017,2,
665,2017,1,
718,2017,5,
812,2017,7,
817,2017,7,
821,2017,7,
986,2017,4,
1027,2017,3,
1058,2017,8,
1072,2017,4,
1112,2017,6,
1142,2017,2,
1196,2017,3,
1219,2017,1,
4279,2017,1,
6923,2017,1,
1259,2018,9,
1284,2018,5,
1285,2018,16,
1292,2018,1,
1297,2018,3,
1320,2018,4,
1327,2018,1,
1340,2018,9,
1355,2018,1,
1361,2018,1,
1378,2018,2,
1385,2018,3,
1446,2018,9,
1461,2018,13,
1491,2018,2,
1501,2018,7,
1574,2018,1,
1581,2018,8,
1586,2018,2,
1590,2018,3,
1591,2018,2,
1638,2018,1,
1647,2018,4,
1662,2018,10,
1688,2018,10,
1721,2018,4,
1758,2018,2,
1796,2018,14,
1805,2018,6,
1988,2018,1,
1813,2019,3,
1822,2019,2,
1824,2019,1,
1826,2019,1,
1828,2019,3,
1830,2019,1,
1834,2019,1,
1851,2019,1,
1861,2019,21,
1863,2019,4,
1878,2019,1,
1880,2019,1,
1887,2019,1,
1896,2019,9,
1897,2019,1,
1898,2019,6,
1913,2019,1,
1928,2019,1,
1938,2019,1,
1953,2019,1,
1964,2019,4,
1967,2019,2,
1982,2019,2,
1985,2019,3,
2602,2019,11,
2605,2019,13,
2620,2019,6,
4238,2019,5,
5468,2019,4,
10678,2019,12,
