id,uuid,observed_on,time_observed_at,quality_grade,url,image_url,description,latitude,longitude,positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
85896,07fe418f-aeac-4e3d-9c16-0dc5c3baf593,2008-05-10,2008-05-10 22:11:00 UTC,research,http://www.inaturalist.org/observations/85896,https://inaturalist-open-data.s3.amazonaws.com/photos/125677/medium.jpg,"<em>Carnegiea gigantea</em>. Soldier Trail, Santa Catalina Mountains, Pima County, Arizona, USA. 10 May 2008.",32.314691,-110.721311,,Carnegiea gigantea,Carnegiea gigantea,saguaro,Plantae,54449
95485,a66827fe-2b26-4e71-b21b-b82f0f1cbef7,2008-05-10,2008-05-10 22:18:50 UTC,research,http://www.inaturalist.org/observations/95485,https://inaturalist-open-data.s3.amazonaws.com/photos/139090/medium.jpg,"<em>Carnegiea gigantea</em>.  Soldier Trail, Santa Catalina Mountains, Pima County, Arizona, USA.  10 May 2008.",32.314991,-110.720021,,Carnegiea gigantea,Carnegiea gigantea,saguaro,Plantae,54449
138529,a158835a-6e98-4a01-8ab1-5fcfb9542692,2012-05-01,,research,http://www.inaturalist.org/observations/138529,https://inaturalist-open-data.s3.amazonaws.com/photos/192232/medium.jpg,"",32.4341008,-110.9089378,4222,saguaro cactus,Carnegiea gigantea,saguaro,Plantae,54449
465462,f516de81-4690-40a5-bba4-c7d92714d28e,2011-05-18,2011-05-18 19:08:55 UTC,research,http://www.inaturalist.org/observations/465462,https://static.inaturalist.org/photos/587132/medium.jpg,"05/18/2011, 2:08 PM
Canon PowerShot SD1400 IS, 1/500 sec, f/5.9, 20mm (5 to 20), ISO 80, Exp comp -1/3",33.795903,-111.762397,5,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
704097,357bc12b-c9d7-4618-a566-0924433ce74b,2014-05-28,,research,http://www.inaturalist.org/observations/704097,https://inaturalist-open-data.s3.amazonaws.com/photos/882878/medium.JPG,"",33.458443,-111.945152,667,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
716714,3d64d499-2306-4a65-b547-2191e5954439,2014-05-27,,research,http://www.inaturalist.org/observations/716714,https://inaturalist-open-data.s3.amazonaws.com/photos/900512/medium.JPG,"",33.649507,-111.858478,195,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
716744,84997661-2d6b-40bc-a412-137266a84081,2014-05-29,,research,http://www.inaturalist.org/observations/716744,https://inaturalist-open-data.s3.amazonaws.com/photos/900547/medium.JPG,"",33.513546,-111.948451,195,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
716789,382d1529-68d3-4c7c-8bff-6fe302a7ccdd,2014-05-30,,research,http://www.inaturalist.org/observations/716789,https://inaturalist-open-data.s3.amazonaws.com/photos/900592/medium.JPG,"",33.649507,-111.858478,195,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
1302726,15167df3-b842-4689-b811-adb6f6e017e8,2010-05-26,,research,http://www.inaturalist.org/observations/1302726,https://static.inaturalist.org/photos/1634862/medium.jpg,"",32.296736,-111.166615,14325,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
1463567,e46ccd56-5101-4e66-9778-82b346f24d26,2015-05-07,2015-05-07 21:26:34 UTC,research,http://www.inaturalist.org/observations/1463567,https://inaturalist-open-data.s3.amazonaws.com/photos/1814725/medium.jpg,,32.179332,-110.736635,5,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
1470402,9bd811ce-bf64-440b-b72b-661205fc6d25,2015-05-09,2015-05-09 18:15:33 UTC,research,http://www.inaturalist.org/observations/1470402,https://inaturalist-open-data.s3.amazonaws.com/photos/1822831/medium.jpg,Crestate saguaro,32.164353,-110.725795,5,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
1602067,bfb79bd9-680c-43c1-949a-77e8354c8aca,2015-05-30,,research,http://www.inaturalist.org/observations/1602067,https://inaturalist-open-data.s3.amazonaws.com/photos/1969862/medium.JPG,"",34.425874,-112.050159,111498,saguaro,Carnegiea gigantea,saguaro,Plantae,54449
